event_id,japones,es_oficial
10010001,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010001,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.
10010001,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010001,dまさかオレが%2F雷門サッカー%1F部に\n%1F入ることになるとはな…。\nまあ　よろしくたのむぜ…。,Quién me iba a decir que acabaría\njugando al fútbol en el Raimon.\n¿Crees que nos llevaremos bien?
10010001,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010002,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010002,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.
10010002,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010002,\%2F雷門には\n%2F美人マネージャーが　いるらしいな。\nしかたないから　%1F入ってやるよ。,Dicen que la gerente del Raimon es\nmuy guapa. Qué le vamos a hacer...\nMe uniré al equipo si quieres.
10010002,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010003,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010003,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.
10010003,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010003,`よう！　この%1F前は　%1F負けたぜ。\nせっかくさそわれたんだし\n%2F転校して%1F来てやるよ。,"El otro día jugasteis bien. Ya\nque te has tomado la molestia de\ninvitarme, me uniré a tu equipo."
10010003,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010004,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010004,D%1F彼なら\n%3F河川敷グラウンドの%2F道路に\n%1F呼んでいるわ。,Le he dicho que vaya a la\ncarretera que hay en el río.
10010004,Xふん！　このオレが　おまえたちの\nサッカー%1F部に%1F入ってやるよ。\n%2F感謝しな！,¡Je! Os haré el favor de entrar\nen vuestro club. ¿A que soy como\nun regalo caído del cielo?
10010004,\べ　%1F別にあなたのために\nやっているわけじゃないのだから！\nかんちがいしないでよね！,¡Que sepas que no lo hago por ti!\nNo te pienses cosas que no son.
10010004,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010005,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010005,D%1F彼なら\n%3F河川敷グラウンドの%2F道路に\n%1F呼んでいるわ。,Le he dicho que vaya a la\ncarretera que hay en el río.
10010005,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010005,T%2F雷門サッカー%1F部　%1F入りに%1F来た…\n%1F道にまよった…\n%2F案内しろ…。,"He venido a unirme al club de\nfútbol del Raimon, pero me he\nperdido. Enséñame el camino, anda."
10010005,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010006,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010006,D%1F彼なら\n%3F河川敷グラウンドの%2F道路に\n%1F呼んでいるわ。,Le he dicho que vaya a la\ncarretera que hay en el río.
10010006,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010006,Tあんたたち　なかなか%1F強かったな。\n%2F雷門に%2F転校したいのだが…\nいいか？,El otro día demostrasteis que sois\nbastante buenos. ¿Te parece bien\nsi me vengo a jugar al Raimon?
10010006,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010007,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010007,4もうわかっているよね？\nこれから　よろしく！,Te aseguro que no te defraudaré.\n¿Confías en mí?
10010007,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010007,D%1F彼なら\n%3F河川敷グラウンドの%2F道路に\n%1F呼んでいるわ。,Le he dicho que vaya a la\ncarretera que hay en el río.
10010007,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010008,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010008,8%1F彼なら\n%3F河川敷の%2F道路に\n%1F呼んでいるわ。,Te está esperando en la\ncarretera que hay cerca del\ncampo de fútbol del río.
10010008,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010008,Lまさか　こんなことになるとはな…。\nまあ　ちゃんと%2F入部してやるよ。,"Esto sí que no me lo esperaba,\npero... Venga, vale. Me uniré\na vuestro equipo."
10010008,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010009,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010009,8%1F彼なら\n%3F河川敷の%2F道路に\n%1F呼んでいるわ。,Te está esperando en la\ncarretera que hay cerca del\ncampo de fútbol del río.
10010009,Lこのボクが%1F入りに%1F来てやったよ。\nさあ　%2F入部させてもらおうか。,"Quiero unirme a tu equipo.\nTe parece bien, ¿verdad?"
10010009,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010009,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010010,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010010,8%1F彼なら\n%3F河川敷の%2F道路に\n%1F呼んでいるわ。,Te está esperando en la\ncarretera que hay cerca del\ncampo de fútbol del río.
10010010,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010010,Pもうオレたちが%1F戦う%2F理由はない。\nおまえの%2F勝利に　%2F協力しよう！,"Nosotros ya no tenemos nada por\nlo que luchar. Por eso, os ayudaré\na lograr vuestro propósito."
10010010,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010011,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010011,4%1F彼なら\n%2F正門の%1F近くに%1F呼んでいるわ。,Está esperándote cerca\nde la puerta principal.
10010011,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010011,d%2F雷門サッカー%1F部\nあんたたちの%2F実力はホンモノだった。\nいっしょにサッカーさせてくれ！,Me habéis demostrado vuestra\nvalía como equipo de fútbol.\n¡Dejad que me una a vosotros!
10010011,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010012,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010012,D%1F彼なら\n%3F正門前グラウンドの%1F近くに\n%1F呼んでいるわ。,Le he dicho que te espere por\nel campo de fútbol que hay en\nla entrada principal.
10010012,\べ　%1F別にあなたのために\nやっているわけじゃないのだから！\nかんちがいしないでよね！,¡Que sepas que no lo hago por ti!\nNo te pienses cosas que no son.
10010012,…%1F入れろ。,¡Apuntadme en el equipo!
10010012,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010013,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010013,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010013,<%2F雷門サッカー%1F部に%1F入りに%1F来た！\nよろしく！,¡He venido para unirme al club de\nfútbol del Raimon! ¿Te parece bien?
10010013,D%1F彼なら\n%3F正門前グラウンドの%1F近くに\n%1F呼んでいるわ。,Le he dicho que te espere por\nel campo de fútbol que hay en\nla entrada principal.
10010013,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010014,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010014,D%1F彼なら\n%3F正門前グラウンドの%1F近くに\n%1F呼んでいるわ。,Le he dicho que te espere por\nel campo de fútbol que hay en\nla entrada principal.
10010014,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010014,T%2F雷門サッカー%1F部に\nさそわれたから%1F来てやったぞ。\nさあ　%1F入れてくれ。,"He venido porque me han pedido \nque juegue en el equipo del Raimon.\nVenga, hacedme un hueco."
10010014,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010015,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010015,<%1F彼なら\nテニスコートの%1F近くに\n%1F呼んでいるわ。,Te está esperando por\nlas pistas de tenis.
10010015,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010015,`ちゃんと　ここまで%1F来てやったぞ。\nさあ　オレを%2F雷門サッカー%1F部に\n%1F入れてくれよ！,"Ya que has llegado hasta aquí,\nahora tendrás que aceptarme en\nel Raimon."
10010015,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010016,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010016,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010016,<%1F彼なら\nテニスコートの%1F近くに\n%1F呼んでいるわ。,Te está esperando por\nlas pistas de tenis.
10010016,Hオレがここにいるってことは\nどういうことか\nわかっているんだろう？,¿Sabes por qué estoy aquí?
10010016,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010017,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010017,<%1F彼なら\nテニスコートの%1F近くに\n%1F呼んでいるわ。,Te está esperando por\nlas pistas de tenis.
10010017,L%2F雷門サッカー%1F部へ%1F入りに%1F来た。\nこれから　よろしくたのむ。,Quiero jugar en el Raimon. Me siento\nmotivado. ¿Te parece bien?
10010017,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010017,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010018,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010018,0%1F彼なら\n%3F野球場に　%1F呼んでいるわ。,Le he dicho que te espere\nen el campo de béisbol.
10010018,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010018,\おう　%2F雷門キャプテンさんよ。\nわざわざ　%1F来てやったぜ。\nそれじゃあ　たのむよ。,"¡Hola, capitán! He venido\nexpresamente, así que...\nhazme el favor, anda."
10010018,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010019,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010019,0%1F彼なら\n%3F野球場に　%1F呼んでいるわ。,Le he dicho que te espere\nen el campo de béisbol.
10010019,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010019,`やあ　%2F雷門キャプテンさん。\nサッカー%1F部に%1F入りに%1F来たよ。\nこれから　よろしく！,"Hola, capitán. He venido porque\nquiero unirme al Raimon.\n¡Déjame jugar contigo!"
10010019,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010020,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010020,8%1F彼なら\n%3F野球場の%1F近くに\n%1F呼んでいるわ。,Te está esperando cerca\ndel campo de béisbol.
