idx,japones,espanol_oficial,nombre_3ds
0,なし,,Nada
1,ミネラルウォーター,Agua mineral,Agua min.
2,スポーツウォーター,Agua isotónica,Isotónica
3,スーパーウォーター,Agua medicinal,Agua med.
9,ぎゅうにゅう,Leche,Leche
11,クッキーフレーバー,Galleta,Galleta
12,スタミナフレーバー,Barrita,Barrita
13,ハイパーフレーバー,Chocolate,Chocolate
16,おにぎり,Bola de arroz,Bol.arroz
21,ごくじょうのおでん,Pinchito supremo,Pinchito
36,サッカーざっし,Revista de fútbol,Revista
37,民山ヒントメモ,Nota de Yosemite,N.Yosem.
38,碇ヒントメモ,Nota de Gladstone,N.Gladst.
39,備流田ヒントメモ,Nota de Builder,N.Builder
41,クワガタ,Ciervo volante,Ciervo v.
66,ひみつの鍵,Llave secreta,L.secreta
67,コンピュータ室の鍵,Llave sala PC,L.sala PC
68,野球部の鍵,Llave béisbol,L.béisbol
69,テニス部の鍵,Llave tenis,L.tenis
70,陸上部の鍵,Llave atletismo,L.atlet.
71,サイクリング部の鍵,Llave ciclismo,L.ciclis.
72,武道館の鍵,Llave pabellón,L.pabell.
73,水泳部の鍵,Llave natación,L.natac.
74,体育館の鍵,Llave gimnasio,L.gimnas.
75,鉄塔ごやの鍵,Llave caseta,L.caseta
76,体育館そうこの鍵,Llave trastero,L.trast.
81,サッカー部ノート,Bloc de fútbol,Bloc fút.
82,エッチな本,Cómic romántico,Cómic
83,きみょうなそうち,Artefacto raro,Artefacto
84,秘伝書のきれはし,Técnica secreta,Téc.secr.
85,ハッキングのきろく,Prueba de pirateo,P.pirateo
86,総一郎のメモ,Nota de Sonny,N.Sonny
87,総一郎のしょるい,Hojas de Sonny,Hoj.Sonny
89,神のアクア,Néctar,Néctar
90,大きなクツ,Botazas,Botazas
91,サングラス,Shadosaurus Cimmerii,Shadosau.
101,雷門中ウェア,Equipo Raimon,Eq.Raimon
102,帝国ウェア,Equipo Royal,Eq.Royal
103,尾刈斗ウェア,Equipo Occult,Eq.Occult
104,野生中ウェア,Equipo Wild,Eq.Wild
105,御影ウェア,Equipo Brain,Eq.Brain
106,秋葉ウェア,Equipo Otaku,Eq.Otaku
107,戦国ウェア,Equipo Shuriken,Eq.Shuri.
108,千羽山ウェア,Equipo Farm,Eq.Farm
109,木戸川ウェア,Equipo Kirkwood,Eq.Kirkw.
110,世宇子ウェア,Equipo Zeus,Eq.Zeus
111,ＫＦＣウェア,Equipo Kids F. C.,Eq.KidsFC
112,傘美野ウェア,Equipo Umbrella,Eq.Umbr.
113,サリーズウェア,Equipo Sallys,Eq.Sallys
114,れきせんのウェア,Vieja escuela,V.escuela
115,そうげんのウェア,Caos,Caos
116,あめのウェア,Estelas blancas,Estelas
117,たたかいのウェア,Guerra total,Guerra t.
118,タフネスウェア,El roble,El roble
119,テクノウェア,Tecnomanía,Tecnoman.
120,じょうねつのウェア,Pura pasión,Pura pas.
121,しっぷうのウェア,Torbellino,Torbell.
122,しんかいのウェア,Abismo marino,Abismo m.
123,てっぺきのウェア,Ferromuro,Ferromuro
124,うみのウェア,Mar adentro,Mar aden.
125,ねっけつのウェア,Fuego del alma,Fueg.alma
126,つめあとのウェア,Garra chic,Garra ch.
127,どりょくのウェア,Abnegación,Abnegac.
128,ゆうやけのウェア,Sol poniente,Sol pon.
129,おうじゃのウェア,Campeonísimo,Campeoní.
130,しょうりのウェア,Invictus,Invictus
131,せいしゅんウェア,Alegre juventud,Aleg.juv.
132,しんしのウェア,Señorito,Señorito
133,スリースターウェア,Triestela,Triestela
134,きこうしのウェア,Principito,Princip.
135,ブイサインウェア,Victoria,Victoria
136,カンフーウェア,Kung-fu,Kung fu
137,イナズマウェア,Inazuma,Inazuma
138,ごくじょうウェア,Pasarela,Pasarela
139,きぞくのウェア,Burgués,Burgués
140,ほのおのウェア,La llama,La llama
141,イナビカリのウェア,Equipo Centella,Eq.Cent.
142,ＯＢ用の服,Ropa de veterano,Ropa vet.
151,雷門スパイク,Botas Raimon,B.Raimon
152,帝国スパイク,Botas Royal,B.Royal
153,のろいのスパイク,Botas malditas,B.maldit.
154,ワイルドスパイク,Botas salvajes,B.salvaj.
155,御影専農スパイク,Botas mentales,B.mental.
156,秋葉名戸スパイク,Botas Otaku,B.Otaku
157,ニンジャスパイク,Botas ninja,B.ninja
158,千羽山スパイク,Botas campesinas,B.campes.
159,木戸川スパイク,Botas Kirkwood,B.Kirkw.
160,ディバインスパイク,Botas divinas,B.divinas
161,稲妻ＫＦＣスパイク,Botas infantiles,B.infant.
162,傘美野スパイク,Botas Umbrella,B.Umbrel.
163,サリーズシューズ,Botas Sallys,B.Sallys
164,れきせんのスパイク,Botas curtidas,B.curtid.
165,ねっけつスパイク,Botas ardientes,B.ardien.
166,しょうりのスパイク,Botas exitosas,B.exitos.
167,ハヤブサシューズ,Botas de halcón,B.halcón
168,インパクトシューズ,Botas de impacto,B.impacto
169,イナズマスパイク,Botas Inazuma,B.Inazuma
170,あおぞらスパイク,Botas celestes,B.celest.
171,せいしゅんスパイク,Botas juveniles,B.juven.
172,スマートスパイク,Botas elegantes,B.elegan.
173,みんなのシューズ,Botas clásicas,B.clásic.
174,マスターシューズ,Botas de experto,B.experto
175,ウイングスパイク,Botas de Pegaso,B.Pegaso
176,ワンダースパイク,Botas fabulosas,B.fabul.
177,どりょくのスパイク,Botas de currante,B.curran.
178,きあいのスパイク,Botas animosas,B.animos.
179,ほのおのスパイク,Botas ígneas,B.ígneas
180,みなぎるスパイク,Botas de duende,B.duende
181,イナビカリスパイク,Botas Centella,B.Centel.
182,黒服用靴,Mocasines negros,Mocasines
183,レイトンシューズ,Zapatos Layton,Z.Layton
201,雷門グローブ,Guantes Raimon,G.Raimon
202,帝国グローブ,Guantes Royal,G.Royal
203,のろいのグローブ,Guantes malditos,G.maldit.
204,ワイルドグラブ,Guantes salvajes,G.salvaj.
205,御影専農グローブ,Guantes Brain,G.Brain
206,秋葉名戸グラブ,Guantes Otaku,G.Otaku
207,ニンジャグローブ,Guantes ninja,G.ninja
208,千羽山グローブ,Guantes Farm,G.Farm
209,清修グローブ,Guantes Kirkwood,G.Kirkw.
210,ディバイングローブ,Guantes divinos,G.divinos
211,稲妻ＫＦＣグローブ,Guantes infantiles,G.infant.
